title,location,roles,starting_status,b_location type,b_Roles,type_of_card,ideology,brief_explanation_of_teams_history,style_of_play,@art,@VP_icon_1,Secret_Objective_1,@VP_icon_2,Secret_Objective_2,@VP_icon_3,Secret_Objective_3,Secret_Objective_3,Secret_Objective_4,@VP_icon_5,Secret_Objective_5,@VP_icon_6,Secret_Objective_6,@variant_expansion,@status-symbol,color_theme,how_many_tokens_nation_starts_with,num-of-token_1st,@1st_token,num-of-token_2nd,@2nd_token,num-of-token_3rd,@3rd_token,num-of-token_4th,@4th_token,@flag
Global Corporation,Arms Dealer,"C.E.O., C.F.O., & Chief Scientist",6,Global Corporation:,1-3 Players,National Agenda,Capitalist,"In an age of peace being an arms dealer, while still very lucrative, is not good for the brand. With so many new technologies emerging, perhaps you could take the lead in the hot new trend--sustainable energy. In this winner-take-all market, you'll have to create the tech, mass produce it, and be first to market. But it's only profitable if you can get nearly every nation to buy it.",Competitive,nation-corporation.jpg,icon_build.png,Gain +2 Status the first time you sell a mass produced (costs Red Tokens) Innovation (costs White Tokens) to another Nation.,icon_innovate.png,Gain +1 Status if you are the first to successfully Innovate (costs White Tokens) Sustainable Energy.,icon_upgrade.png,Gain +1 Status for each of your Innovations (costs White Tokens) that you or another Nation mass produces (costs Red Tokens).,,,,,,,e_ten-plus.png,icon_status.png,green,"Global Corporation has 10 green tokens, 6 blue tokens, 3, ,  ",10,green tokens,6,blue tokens,3,,,,f_corporation.jpg
Peaceful Nation,Canada,"Prime Minister, Secretary of Defense, & Chief Scientist",6,Location:,1-3 Players,National Agenda,Socialist Democracy,"Of all the nations you are the one who has fought the least. Everyone thinks you are passive, but you could prove them wrong. You are also far closer to Strong Nation (Russia) than most realize. When they start the next war, who will oppose them? There's no advantage like the element of surprise.",Advantaged,nation-peaceful.jpg,,Gain +2 Status at end of Round 3 (game day 3) if no one has started a war.,icon_innovate.png,Gain +2 Status if you are the first to purchase sustainable energy (costs White to Innovate) mass produced (costs Red) by another Nation.,icon_innovate.png,Gain +1 Status each time two or more nations contribute Tokens to or collaborate with your Action on the same round (game day).,,,,,,,e_ten-plus.png,icon_status.png,white,"Peaceful Nation has 9 white tokens, 6 green tokens, 3, black tokens,  ",9,white tokens,6,green tokens,3,black tokens,,,f_peaceful.jpg
Developing Nation,Africa,"President for Life, Secretary of Defense, & Chief Scientist",5,Location:,1-3 Players,,Autocratic Dictatorship,"With the largest untapped natural resources of any continent, see if you can extract the wealth in coal, oil, gas, and diamonds by getting other nations to help you build some basic infrastructure. Try to make headlines for anything but corruption, civil wars, or disease.",Disadvantaged,nation-developing.jpg,icon_build.png,Gain +2 Status each time you can successfully Build (costs Red tokens) two consecutive rounds (game days).,icon_setback.png,Earn 1 Green Token for every round (game day) your Status remains below the red X.,icon_setback.png,Gain +1 Status each time a Player from another Nation signs a secret Action Report you wrote.,icon_setback.png,Gain +1 Status each time you extort money from a Nation by threatening to publicize an Action Report they secretly signed.,,,,,e_ten-plus.png,icon_status.png,black,"Developing Nation has 7 black tokens, 6 blue tokens, 3, ,  ",7,black tokens,6,blue tokens,3,,,,f_africa.jpg
Oil Rich Nation,Arab States,"King, Secretary of Defense, & Chief Scientist",6,Location:,1-3 Players,National Agenda,Theocratic Monarchy,"Your old enemy, Religious Nation (Israel), and Fast-Growing Nation (China), have just laid claim to your holy site, marked on the map by the dark orange hex with the green tree. Caught between their threats and the cries of Jihad from ultra-conservative factions within your nation, your Nation is on brink of civil war. On top of that, your fossil fuels (Black Tokens) could lose all of their value if anyone achieves sustainable energy.",Competitive,nation_oil-rich.jpg,,Oil Rich Nation (The Arab States) is to lose 2 Status the first time a neighboring nation wins a Green Token from the disputed dark orange hex with the green tree symbol.,,Gain +1 Status the first time you make a speech advocating against the replacement of Fossil Fuels (devalues Black Tokens) with Sustainable Energy.,,"Gain +1 Status once you, Religious nation (Israel), and one other Nation sign a Peace Treaty (Action Report).",icon_status.png,Gain +1 Status if you delay adapting a new Technology by 1 round (game day) that 3 other Nations have adopted.,,,,,e_14-plus_theocratic.png,icon_status.png,black,"Oil Rich Nation has 10 black tokens, 6 , 3, blue tokens,  ",10,black tokens,6,,3,blue tokens,,,f_oil-rich.jpg
Religious Nation,Israel,"Prime Minister, Secretary of Defense, & Chief Scientist",4,Location:,1-3 Players,National Agenda,Nationalist,"Engineering Nation (Germany) & Strong Nation (Russia) tried to annihilate you in WWII after two millennia of persecution. But even now, the home you have reclaimed is under threat from the Oil Rich Nation (Arab States). They may have built a mosque on your capital, but that does not give them or Fast-growing Nation (China) the right to the riches buried beneath it.",Difficult,nation-religious.jpg,,Gain +2 Status if Oil Rich Nation (the Arab States) and Fast-growing Nation (China) signs an Action Report granting Religious Nation (Israel) soverignty over the disputed dark orange hex with the green tree symbol.,icon_innovate.png,Gain +2 Status the first time you can Innovate (costs White Tokens) for two consecutive rounds (game days).,icon_innovate.png,Gain +1 Status the first time you sell an Innovation to another Nation.,,,,,,,e_14-plus_theocratic.png,icon_status.png,blue,"Religious Nation has 10 blue tokens, 6 green tokens, 5, white tokens,  ",10,blue tokens,6,green tokens,5,white tokens,,,f_religious.jpg
Shadow Nation,North Korea,"Eternal Supreme Leader, Secretary of Defense, & Chief Scientist",1,Location:,1-3 Players,National Agenda,Nationalist,"Restore Korea to its full glory by finally invading Cloud Nation (South Korea) or boast loudly, threaten, steal, kill, destroy or whatever you have to do to get your soldier population some money, food, and resources of any kind.",Diabolical,nation-shadow.jpg,icon_military.png,Gain +2 Status the first time you invade Cloud Nation (South Korea). The Penalty for war does not apply.,icon_setback.png,Gain +1 Status for every 2 Green Tokens you can extort from other Nations (perhaps by threatening to invade Cloud Nation),icon_setback.png,Earn 1 Green Token for every round (game day) your Status remains below the red X.,icon_build.png,Gain +1 Status each time you succeed in any Build (costs Red) Action.,,,,,e_ten-plus_policing.png,icon_status.png,black,"Shadow Nation has 6 blue tokens, 3 black tokens, 3, ,  ",6,blue tokens,3,black tokens,3,,,,f_shadow.jpg
Penultimate Defense Systems,Arms Dealer,"C.E.O., C.F.O., & Chief Scientist",6,Global Corporation:,1-3 Players,National Agenda,Capitalist,"Penultimate Defense Systems sells, ""The Ultimate Last Resort."" Find out who fears who, instigate an arms race and a bidding war for your newest tech, equip aggressors and their opponents. If the leaders won't buy, then equip their citizens against their oppressive regime. There's always a win when there's a fight.",Aggressive,nation-penultimate.jpg,icon_build.png,Gain +2 Status the first time you sell a mass produced (costs Red Tokens) Innovation (costs White Tokens) to another Nation.,icon_engage.png,Gain +1 Status the first time you sell/trade a Weapons Tech you Innovated (costs White Tokens) to another Nation.,icon_upgrade.png,Gain +1 Status for each of your Innovations (costs White Tokens) that you or another Nation mass produces (costs Red Tokens).,icon_innovate.png,Gain +1 Status on the first turn that you Innovate and Global Corporation does not.,,,,,e_ten-plus_policing.png,icon_status.png,green,"Penultimate Defense Systems has 10 green tokens, 9 blue tokens, 3, ,  ",10,green tokens,9,blue tokens,3,,,,f_pen.jpg
Ice nation,North Pole,"President, Secretary of Defense, & Chief Scientist",4,Location:,1-3 Players,National Agenda,Ecologist,"Though a very peaceful nation, learning to live in the extremities has made you very tough and extremely resourceful. Irreversible damage to the ozone and continued use of fossil fuels is now ruining fisheries, melting your glaciers, and flooding coastal economies. It's not too late to Innovate and reverse this trend.",Secretive,nation-ice.jpg,icon_upgrade.png,Gain +2 Status the first time you can Innovate (costs White Tokens) for two consecutive rounds (game days).,icon_innovate.png,Gain +1 Status each time two or more nations contribute Tokens to or collaborate with your Action on the same round (game day).,icon_build.png,Gain +1 Status the first time you can Build (costs Red tokens) and/or Innovate (costs White Tokens) for 3 consecutive rounds (game days).,icon_build.png,Gain +1 Status when you mass produce (costs Red Tokens) your own Innovation.,icon_build.png,Gain +1 Status each time one of your Innovations (costs White Tokens) is mass produced (costs Red) and purchased/adopted by another nation.,,,e_twenty-plus.png,icon_status.png,white,"Ice nation has 6 white tokens, 3 green tokens, 3, ,  ",6,white tokens,3,green tokens,3,,,,f_ice.jpg
Wild nation,Australia,"Prime Minister, Secretary of Defense, & Chief Scientist",4,Location:,1-3 Players,National Agenda,Individualist,Imagine a bunch of prisoners exiled from one of the smartest nations and left to form their own society among one of the toughest continents inhabited by one of the oldest indigenous populations on earth. Welcome to Wild Nation.,Secretive,nation-wild.jpg,icon_innovate.png,Gain +2 Status the first time you can Innovate (costs White Tokens) for two consecutive rounds (game days).,icon_innovate.png,Gain +1 Status the first time you sell an Innovation to another Nation.,icon_innovate.png,Gain +1 Status the first time one of your Innovations (costs White Tokens) is mass produced (costs Red) and purchased/adopted by another nation.,icon_build.png,Gain +1 Status the first time you can Build (costs Red tokens) and/or Innovate (costs White Tokens) for 3 consecutive rounds (game days).,icon_build.png,Gain +1 Status when you mass produce (costs Red Tokens) your own Innovation.,,,e_twenty-plus.png,icon_status.png,red,"Wild nation has 6 red tokens, 6 blue tokens, 3, white tokens,  ",6,red tokens,6,blue tokens,3,white tokens,,,f_wild.jpg
Spice nation,India,"President, Secretary of Defense, & Chief Scientist",5,Location:,1-3 Players,National Agenda,Bureaucratic Caste System,"Largest democracy in the world, the source of two world religions, and the fastest growing labor market of engineers and techies--Spice Nation wants the same first-world lifestyle of the Smart Nations it defied. Show the world that you truly are abolishing the caste system by doing more for more with less for less.",Difficult,nation-spice.jpg,icon_innovate.png,Gain +1 Status each time you Innovate a technology (costs White tokens) that competes with another Nation's Innovation.,icon_innovate.png,Gain +1 Status the first time one of your Innovations (costs White Tokens) is mass produced (costs Red) and purchased/adopted by another nation.,icon_upgrade.png,Gain +1 Status the first time one of your Innovations (costs White Tokens) solves an international problem.,icon_innovate.png,Gain +1 Status the first time you sell more cheaply or freely give an Innovation (costs White Tokens to Innovate) that competes with another Nation's Innovation.,icon_innovate.png,Gain +1 Status the first time you sell more cheaply or freely give an Innovation (costs White Tokens to Innovate) that competes with another Nation's Innovation.,,,e_20-plus_socio-economic.png,icon_status.png,red,"Spice nation has 10 red tokens, 9 white tokens, 3, black tokens,  ",10,red tokens,9,white tokens,3,black tokens,,,f_spice.jpg
Beautiful nation,Italy,"President, Secretary of Defense, & Adjudicator",4,Location:,1-3 Players,National Agenda,Nationalist,"Once the greatest empire to ever rule and home to the grandest international religion, Beautiful nation is now home to the greatest collection of historical sites, art, food, museums, cathedrals, high end cars, fashion, wines, and cheeses. The problem is economic corruption--almost no one pays taxes, making it difficult for the state to compete with the mafia or the church.",Disadvantaged,nation-beautiful.jpg,icon_setback.png,Earn 1 Green Token for every round (game day) your Status remains below the red X.,icon_innovate.png,Gain +1 Status the first time you sell an Innovation to another Nation.,icon_upgrade.png,Gain +1 Status for each of your Innovations (costs White Tokens) that you or another Nation mass produces (costs Red Tokens).,icon_build.png,Gain +1 Status each time you use the Build Action (costs Red Tokens) to introduce new brands/products/business,icon_engage.png,"Blame the Germans. If Engineering Nation refuses to trade, you may force them to draw a Crisis card every other round (game day).",,,e_20-plus_socio-economic.png,icon_status.png,green,"Beautiful nation has 10 white tokens, 6 green tokens, , ,  ",10,white tokens,6,green tokens,,,,,f_beautiful.jpg
Old nation,Greece,"President, Secretary of Defense, & Adjudicator",3,Location:,1-3 Players,National Agenda,Traditionalist,"Most of Europe claims to have once ruled the rest, but the Greeks were first and most original. But now you have the most debt, the most unemployment, and the most rules. If not tied to the Euro, you would simply print more money, weaken your currency, and thus make your exports appear cheaper and much more marketable. Young people have no jobs, entrepreneurs can't start new businesses, and your banks aren't lending money. It's time to leave the Euro.",Disadvantaged,nation-old.jpg,icon_build.png,Gain +1 Status each time you succeed in any Build (costs Red) Action.,icon_innovate.png,Gain +1 Status each time two or more nations contribute Tokens to or collaborate with your Action on the same round (game day).,icon_setback.png,Earn 1 Green Token for every round (game day) your Status remains below the red X.,icon_status.png,Gain +1 Status after you discuss with Fast-growing Nation about possibly adopting a new currency.,icon_setback.png,"Blame the E.U. If any European team refuses to trade, you may force them to draw a Crisis card every other round (game day).",,,e_20-plus_socio-economic.png,icon_status.png,red,"Old nation has 6 red tokens, 6 black tokens, , ,  ",6,red tokens,6,black tokens,,,,,f_old.jpg
Finance nation,Scandinavia,"President, Secretary of Defense, & Chief Scientist",7,Location:,1-3 Players,National Agenda,Austerity,"Your strong reputation as the perfect union between socialism and capitalism among the international banking community is being threatened by corrupt world leaders who launder their dirty money though your clean banks. The European Union now trades using one currency, the Euro, which binds each nation to the same rules. If only you could get the southern economies to play by those rules, collect taxes, pay their debts, and stop begging for E.U. bailouts.",Collaborative,nation-finance.jpg,icon_innovate.png,Gain +2 Status as soon as all European teams are above the Red X on the Status Tracker.,icon_military.png,Gain +1 Status the first time you purchase or Innovate (costs White Tokens) any Weapons Tech to defend against Strong Nation (Russia).,icon_engage.png,Gain +1 Status the first time you successfully negotiate trade with Strong Nation (Russia).,icon_setback.png,"Gain +1 Status each time you discover and expose any illegal, secret, or black market Actions by other Teams.",,,,,e_20-plus_socio-economic.png,icon_status.png,green,"Finance nation has 9 green tokens, 6 white tokens, 3, blue tokens,  ",9,green tokens,6,white tokens,3,blue tokens,,,f_finance.jpg
Interpol,The United Nations,"Secretary-General, Chief Prosecutor, & Adjudicator",6,Location:,,National Agenda,Legalist,You are the International Police Force and Judge within the game. Find evidence (written Action Reports) of and prosecute Actions (stage a trial) that violate the world's social contract. Suggest a penalty if you convict. Control Team Referees can step in to roleplay as any entity unrepresented by another player.,Self-righteous,nation-interpol.jpg,icon_innovate.png,Gain +2 Status as soon as all European teams are above the Red X on the Status Tracker.,,Gain +2 the first time you conduct a trial of peers to prosecute an illegal Action,,Gain +1 each time you produce evidence of a signed Action Report describing an illegal Action.,,,,,,,e_ten-plus_policing.png,icon_status.png,blue,"Interpol has 6 blue tokens, 6 white tokens, 3, green tokens,  ",6,blue tokens,6,white tokens,3,green tokens,,,f_un.jpg
Red Net Anonymous,Russian Mafia & Hackers,"Boss, Head of Security",3,Organized Crime:,1-2 Players,National Agenda,Chaotic,"Crime, corruption, and the black market for your illegal internet security services are thriving in Russia's ""democracy"" under the great leader. The oligarchs who bought up the Soviet state-owned industry are scared to cross him, but after fumbling the invasion of Ukraine, incurring the wrath of international sanctions, and a few too many state-sponsored poisonings, the people need revolution.",Diabolical,nation_red-net.jpg,icon_military.png,"Gain +1 Status for each successful secret Engage Action (steal, spy, sabotage) against another Nation.",icon_military.png,Gain +1 Status each time you spend Tokens to fund Engage Actions of other Nations.,icon_military.png,Gain +1 Status each time a Player from another Nation signs a secret Action Report you wrote.,icon_setback.png,Gain +1 Status each time you extort money from a Nation by threatening to publicize an Action Report they secretly signed.,icon_setback.png,Gain +1 Status each time Strong Nation (Russia) gets blamed for one of your Actions.,icon_setback.png,Earn 1 Green Token each round (Game Day) that Strong Nation remains at or below the Red X on the Status Tracker.,e_ten-plus_policing.png,icon_status.png,green,"Red Net Anonymous has 10 green tokens, 9 , 3, blue tokens,  ",10,green tokens,9,,3,blue tokens,,,f_rednet.jpg
Pope,Rome,,,Special Role,,National Agenda,Orthodox,"In a world of untrusted politicians, a trustworthy apolitical leader carries a lot of weight. Empires have come and gone, but the church has endured for 2000 years. That adds up to a lot of tithes, ancient assets, and traditional power rarely entrusted to so few. Be careful who you are seen with. One wrong move and your role as an unbiased moral authority could vanish. This role requires serious roleplay. We suggest wearing at least a toga or a priest collar) and referring to yourself in the third person.",Individual,nation-pope.jpg,,,,,,,,,,,,,e_religious-figure.png,,white,"Pope has 10 white tokens, 6 green tokens, , ,  ",10,white tokens,6,green tokens,,,,,f_vatican.jpg
End Time Prophet,Evangelical Preacher,,,Special Role,,National Agenda,Fundamentalist,"Born into abject poverty, in the remote mountains of Cloud Nation (South Korea) during the nation's most troubling times, your character was forged through starvation, desperation, perseverance, and asceticism. Educated just enough to read and write, you learned to commune with the Heavens during long periods of fasting prayer. Your prayers carry real consequences. Report the sins of the nations to the Control Team and watch God's judgment unfold (targeted Crisis Card Events).",Individual,nation-prophet.jpg,,,,,,,,,,,,,e_religious-figure.png,,white,"End Time Prophet has 6 white tokens,  , , ,  ",6,white tokens,,,,,,,f_prophet.jpg
Contingency Planner,Contingency Planner,,,Special Role,,National Agenda,,"WARNING: DO NOT READ ANY FURTHER UNLESS YOU ARE THE ONLY ONE PLAYING THIS ROLE. This is your mission should you choose to accept it. You play Devil's advocate, keep tension in the game, and make world peace a little more challenging, which justifies any means to that end. Unite the world against a common enemy and usher in the new world order. Maintain your role on another team as cover.",Individual,nation-contingency.jpg,,,,,,,,,,,,,e_antichrist.png,,blue,"Contingency Planner has 6 blue tokens,  , , ,  ",6,blue tokens,,,,,,,f_deviant.jpg
G.N.N.,Media Conglomerate,"Chief Editor, Journalist",,Global:,1-3 Players,National Agenda,Journalist,"There is too much happening too fast among too many people, even in this little world, so who has time to question your version of the story? Everyone depends on your publication to know what's going on. In a world flooded with capital and information, he who controls the narrative is king.",Media,nation-news.jpg,,,,,,,,,,,,,,,white,"G.N.N. has 6 white tokens,  , , ,  ",6,white tokens,,,,,,,
